1,"Search","All Product Search","Visitor initiates a search using the All Product option"
2,"Search","Book Search","Visitor initiates a search using the Book option"
3,"Search","Music Search","Visitor initiates a search using the Music option"
4,"Search","Video Search","Visitor initiates a search using the Video option"
5,"Search","Textbook Search","Visitor initiates a search using the Textbook option"
6,"Search","Used and Out of Print Search","Visitor initiates a search using the Used and OOP option"
7,"Search","Toys Search","Visitor initiates a search using the Toys option"
8,"Search","Videogames Search","Visitor initiates a search using the Videogames option"
9,"Search","Bargain Search","Visitor initiates a search using the Bargain option"
10,"Search","Kids Search","Visitor initiates a search using the Kids option"
11,"Search","Other Search","Visitor initiates a search using an ""Other"" option"
12,"Order Path","Add to cart","Adds an item to cart"
13,"Order Path","Signin","Signs in to exisitng account"
14,"Order Path","Ship Method","Views ship Method panel"
15,"Order Path","Ship Address","Views Ship Address panel"
16,"Order Path","Payment","Views Payment panel"
17,"Order Path","Review","Views Review panel"
18,"Order Path","Place Order","Submits order"
19,"Member","Visit member page","Views any member page"
20,"Community","Product search","Invoked from search widget to get search result"
21,"Community","Save bookmark","Invoked from profile page as a service call. It adds favor Genres, Actors/Directors/Artists"
22,"Community","Add item to Library","Invoked from product page when adding item to library"
23,"Community","Get Library information","Invoked from profile page as a service call. It gets information for Flush Library"
24,"Community","Add bookmark","Invoked from BN Review, Public Profile or BN Studio. It adds BN Review, profile or studio"
25,"Community","Get Suggestion for product","Invoked from profile page. It is a service call to get suggestions for book, music and DVD"
26,"Community","Get genres","Invoked from profile page to retrieve available Genres"
27,"Community","Add to Favorite list","Invoked from profile page when adding favor products from search widget when favor product list is empty"
28,"Community","Get Item details","Invoked from profile page or Flush library for Library popup detail"
29,"Community","Update profile information","Invoked from profile page to update profile information"
30,"Community","Update profile avator","Invoked from profile page to update profile avatar"
31,"Community","Get rating","Invoked from product page when clicks on See All Detailed Ratings drop down"
32,"Community","Get avator gallery","Invoked from profile page to retrieve available profile"
33,"Community","Custom review","Invoked from product page when clicks on Customer Review tab"
34,"Community","Get Essential List Summary","Get all EssentiaList summary"
35,"Community","Create Essential List Summary","Invoked from different pages as service call to create EssentialLists"
36,"Community","Edit Essential List","Invoked from EssentialList page when clicks on Edit button"
37,"Community","Get Related List","Get related Lists from EssentialList page"
38,"Community","Update Wish List","Invoked from WishList page and updated wish list description"
39,"Community","Save Essential List","Invoked from EssentialList page and save EssentialList change after editing"
40,"Community","Add item to List","Add item to EssentialLists from Search Widget"
41,"Community","Add Item to Wish List","Add item to wish list from Search Widget"
42,"Community","Check Sign In","Checks Sign in and invoke sign in widget if the customer is not signed in"
43,"Community","Set overall rating","Invoked from profile page from library item detail popup when rating a item"
44,"Community","Refresh ""Reading now"" list","Invoked from profile page to refresh reading now list after adding a new item"
45,"Community","Add item to ""Reading now"" list","Invoked from profile page when add items to reading now list"
46,"Community","Create pen name","Invoked from profile page to create pen name"
47,"Community","Check pen name","Invoked from profile page to check pen name availablity before save it"
-9,"Other","No Event","No Event Identified"
